run_id,query_window_id,query_origin,query_input_start,method,rank,candidate_window_id,candidate_input_start,candidate_origin,candidate_target_end,kb_stride_hours,eligible_candidate_count,query_has_event_context,candidate_has_event_context,event_conditioning_applied,event_weight,total_score,time_series_score,weather_score,calendar_score,event_score_raw,event_score,aligned_future
20260827T043457543402Z,w_0058702,2025-09-11 22:00:00+00:00,2025-09-04 23:00:00+00:00,calendar,8,w_0004760,2019-07-11 09:00:00+00:00,2019-07-18 08:00:00+00:00,2019-07-19 08:00:00+00:00,24,1824,False,False,False,0.0,0.64278244972229,0.4106476902961731,0.0,0.64278244972229,0.0,0.0,"[3.0690908432006836, 4.076067924499512, 3.656494140625, 3.0690908432006836, 5.502619743347168, 3.9921538829803467, 5.670449733734131, 3.2369203567504883, 1.4327526092529297, 3.9921538829803467, 11.964059829711914, 6.761341571807861, 6.2578535079956055, 5.58653450012207, 9.278785705566406, 3.908238649368286, 3.572580099105835, 1.8942837715148926, -1.294478416442871, -2.3014564514160156, -2.721029281616211, 0.8033914566040039, -1.5462236404418945, 0.2159876823425293]"
20260827T043457543402Z,w_0058783,2025-09-15 07:00:00+00:00,2025-09-08 08:00:00+00:00,calendar,5,w_0007376,2019-10-28 09:00:00+00:00,2019-11-04 08:00:00+00:00,2019-11-05 08:00:00+00:00,24,1824,False,False,False,0.0,0.9474873542785645,0.7535918354988098,0.0,0.9474873542785645,0.0,0.0,"[6.390893936157227, 5.53761100769043, 4.881239891052246, 4.651509761810303, 5.53761100769043, 9.869662284851074, 12.19978141784668, 14.136075973510742, 16.170827865600586, 19.41986656188965, 13.578161239624023, 11.379316329956055, 8.42564582824707, 7.080083847045898, 3.634134292602539, 6.686261177062988, 5.406336784362793, 5.012514114379883, 3.437222719192505, 4.421779632568359, 6.358075141906738, 6.1939826011657715, 4.815602779388428, 5.89861536026001]"
20260827T043457543402Z,w_0058885,2025-09-19 13:00:00+00:00,2025-09-12 14:00:00+00:00,calendar,2,w_0048800,2024-07-19 09:00:00+00:00,2024-07-26 08:00:00+00:00,2024-07-27 08:00:00+00:00,24,1824,False,False,False,0.0,0.6733905076980591,0.3970249891281128,0.0,0.6733905076980591,0.0,0.0,"[8.460474014282227, 9.435300827026367, 6.835762023925781, 9.76024341583252, 7.052390098571777, 9.218672752380371, 12.359781265258789, 11.493268013000488, 10.951698303222656, 19.887611389160156, 12.955509185791016, 12.034838676452637, 11.709897994995117, 9.86855697631836, 11.601582527160645, 12.143153190612793, 10.518442153930664, 7.377333164215088, 9.002044677734375, 10.843384742736816, 9.76024341583252, 7.377333164215088, 9.435300827026367, 7.377333164215088]"
20260827T043457543402Z,w_0059758,2025-10-25 22:00:00+00:00,2025-10-18 23:00:00+00:00,calendar,3,w_0048632,2024-07-12 09:00:00+00:00,2024-07-19 08:00:00+00:00,2024-07-20 08:00:00+00:00,24,1824,False,False,False,0.0,0.636491060256958,0.49668991565704346,0.0,0.636491060256958,0.0,0.0,"[10.338315963745117, 10.338315963745117, 8.433233261108398, 7.290184020996094, 14.148481369018555, 16.434579849243164, 27.293550491333008, 20.2447452545166, 26.34101104736328, 37.962013244628906, 28.627111434936523, 40.914894104003906, 20.625762939453125, 26.34101104736328, 13.195940017700195, 12.814924240112305, 14.148481369018555, 9.004758834838867, 11.481366157531738, 23.10236930847168, 21.006778717041016, 9.957300186157227, 13.195940017700195, 8.62374210357666]"
20260827T043457543402Z,w_0060523,2025-11-26 19:00:00+00:00,2025-11-19 20:00:00+00:00,calendar,8,w_0021704,2021-06-16 09:00:00+00:00,2021-06-23 08:00:00+00:00,2021-06-24 08:00:00+00:00,24,1824,False,False,False,0.0,0.6498281955718994,0.5389871001243591,0.0,0.6498281955718994,0.0,0.0,"[-1.9069700241088867, -1.7539453506469727, -0.07067394256591797, -0.6827726364135742, 0.3884010314941406, -0.07067394256591797, -0.9888219833374023, 0.3884010314941406, 4.673094749450684, 4.826118469238281, 7.580564975738525, 8.192663192749023, 5.897292137145996, 6.050317287445068, 2.9898219108581543, 4.214020252227783, 3.83145809173584, 3.1428465843200684, -2.8251190185546875, -2.136507987976074, -3.1311683654785156, 0.5414257049560547, 0.0823507308959961, -0.22369766235351562]"
20260827T043457543402Z,w_0058769,2025-09-14 17:00:00+00:00,2025-09-07 18:00:00+00:00,cosine,1,w_0041432,2023-09-16 09:00:00+00:00,2023-09-23 08:00:00+00:00,2023-09-24 08:00:00+00:00,24,1824,False,False,False,0.0,0.8472575545310974,0.8472575545310974,0.0,0.0,0.0,0.0,"[10.638776779174805, 9.457439422607422, 10.272154808044434, 10.964662551879883, 10.679512023925781, 10.679512023925781, 11.779377937316895, 12.471885681152344, 11.779377937316895, 11.086870193481445, 10.720248222351074, 11.514595031738281, 10.760984420776367, 10.068475723266602, 10.149948120117188, 10.760984420776367, 9.74259090423584, 10.964662551879883, 10.272154808044434, 9.946269035339355, 11.249813079833984, 9.946269035339355, 10.353626251220703, 11.860848426818848]"
20260827T043457543402Z,w_0058827,2025-09-17 03:00:00+00:00,2025-09-10 04:00:00+00:00,cosine,3,w_0015464,2020-09-29 09:00:00+00:00,2020-10-06 08:00:00+00:00,2020-10-07 08:00:00+00:00,24,1824,False,False,False,0.0,0.8878922462463379,0.8878922462463379,0.0,0.0,0.0,0.0,"[7.913725852966309, 11.334589958190918, 11.159161567687988, 10.150444984436035, 11.4223051071167, 14.009881973266602, 14.974740028381348, 12.474879264831543, 14.667741775512695, 18.483318328857422, 19.097320556640625, 15.325599670410156, 17.43074607849121, 14.141453742980957, 9.361014366149902, 8.747013092041016, 7.475153923034668, 7.036581516265869, 9.097871780395508, 7.8260111808776855, 8.615442276000977, 7.913725852966309, 5.545435905456543, 9.492587089538574]"
20260827T043457543402Z,w_0058877,2025-09-19 05:00:00+00:00,2025-09-12 06:00:00+00:00,cosine,4,w_0002096,2019-03-22 09:00:00+00:00,2019-03-29 08:00:00+00:00,2019-03-30 08:00:00+00:00,24,1824,False,False,False,0.0,0.8458322286605835,0.8458322286605835,0.0,0.0,0.0,0.0,"[8.898370742797852, 8.092376708984375, 8.092376708984375, 7.528182029724121, 10.91335391998291, 11.074552536010742, 10.91335391998291, 7.447582244873047, 6.480390548706055, 15.749313354492188, 11.799946784973145, 11.638747215270996, 10.429757118225098, 9.946162223815918, 8.495373725891113, 8.898370742797852, 9.704363822937012, 9.704363822937012, 10.671555519104004, 11.477548599243164, 13.814929962158203, 12.364141464233398, 12.605939865112305, 10.671555519104004]"
20260827T043457543402Z,w_0059743,2025-10-25 07:00:00+00:00,2025-10-18 08:00:00+00:00,cosine,1,w_0028904,2022-04-12 09:00:00+00:00,2022-04-19 08:00:00+00:00,2022-04-20 08:00:00+00:00,24,1824,False,False,False,0.0,0.8207727074623108,0.8207727074623108,0.0,0.0,0.0,0.0,"[13.361618995666504, 13.890523910522461, 13.009016036987305, 13.890523910522461, 13.361618995666504, 16.887649536132812, 21.29518699645996, 17.76915740966797, 16.535045623779297, 13.361618995666504, 11.246001243591309, 9.835588455200195, 7.191065788269043, 7.719969749450684, 10.011889457702637, 5.956954479217529, 9.659286499023438, 9.659286499023438, 10.364493370056152, 11.246001243591309, 6.485859394073486, 10.540793418884277, 6.485859394073486, 4.193939685821533]"
20260827T043457543402Z,w_0060626,2025-12-01 02:00:00+00:00,2025-11-24 03:00:00+00:00,cosine,5,w_0038264,2023-05-07 09:00:00+00:00,2023-05-14 08:00:00+00:00,2023-05-15 08:00:00+00:00,24,1824,False,False,False,0.0,0.7968276739120483,0.7968276739120483,0.0,0.0,0.0,0.0,"[12.251049041748047, 12.659760475158691, 8.776998519897461, 6.529083251953125, 14.703319549560547, 16.74687957763672, 10.616201400756836, 18.790437698364258, 10.820556640625, 10.207489967346191, 10.207489967346191, 14.703319549560547, 12.659760475158691, 10.616201400756836, 10.616201400756836, 14.703319549560547, 16.74687957763672, 24.92111587524414, 18.790437698364258, 14.703319549560547, 16.74687957763672, 14.703319549560547, 20.83399772644043, 18.790437698364258]"
