run_id,model,threshold_ug_m3,forecast_decision_threshold_ug_m3,decision_rule,aggregation,n_origins,observed_exceedances,forecast_exceedances,tp,fp,fn,tn,precision,recall,f1,critical_success_index,specificity,balanced_accuracy,auroc,average_precision
20260827T043457543402Z,C00_hour_month_climatology,35.4,35.4,physical_threshold,24h_forecast_mean,2460,37,0,0,0,37,2423,,0.0,,0.0,1.0,0.5,0.4067271976888155,0.021179164281625643
20260827T043457543402Z,C00_hour_month_climatology,55.4,55.4,physical_threshold,24h_forecast_mean,2460,0,0,0,0,0,2460,,,,,1.0,,,
20260827T043457543402Z,C02_calendar_retrieval,35.4,35.4,physical_threshold,24h_forecast_mean,2460,37,1,0,1,37,2422,0.0,0.0,,0.0,0.9995872884853487,0.49979364424267436,0.888500964852595,0.06680718049453999
20260827T043457543402Z,C02_calendar_retrieval,55.4,55.4,physical_threshold,24h_forecast_mean,2460,0,0,0,0,0,2460,,,,,1.0,,,
20260827T043457543402Z,C03_event_conditioned_retrieval,35.4,35.4,physical_threshold,24h_forecast_mean,2460,37,1,0,1,37,2422,0.0,0.0,,0.0,0.9995872884853487,0.49979364424267436,0.8899844954322874,0.06551990078849969
20260827T043457543402Z,C03_event_conditioned_retrieval,55.4,55.4,physical_threshold,24h_forecast_mean,2460,0,0,0,0,0,2460,,,,,1.0,,,
20260827T043457543402Z,M00_persistence,35.4,35.4,physical_threshold,24h_forecast_mean,2460,37,42,12,30,25,2393,0.2857142857142857,0.32432432432432434,0.3037974683544304,0.1791044776119403,0.9876186545604623,0.6559714894423934,0.9614282049279985,0.21715873902234367
20260827T043457543402Z,M00_persistence,55.4,55.4,physical_threshold,24h_forecast_mean,2460,0,11,0,11,0,2449,0.0,,,0.0,0.9955284552845528,,,
20260827T043457543402Z,M01_daily_seasonal,35.4,35.4,physical_threshold,24h_forecast_mean,2460,37,45,0,45,37,2378,0.0,0.0,,0.0,0.9814279818406934,0.4907139909203467,0.8871457094734024,0.06831788200259839
20260827T043457543402Z,M01_daily_seasonal,55.4,55.4,physical_threshold,24h_forecast_mean,2460,0,0,0,0,0,2460,,,,,1.0,,,
20260827T043457543402Z,M02_weekly_seasonal,35.4,35.4,physical_threshold,24h_forecast_mean,2460,37,44,0,44,37,2379,0.0,0.0,,0.0,0.9818406933553446,0.4909203466776723,0.6898082564611661,0.02307159813918063
20260827T043457543402Z,M02_weekly_seasonal,55.4,55.4,physical_threshold,24h_forecast_mean,2460,0,0,0,0,0,2460,,,,,1.0,,,
20260827T043457543402Z,M05_random_retrieval,35.4,35.4,physical_threshold,24h_forecast_mean,2460,37,0,0,0,37,2423,,0.0,,0.0,1.0,0.5,0.8856119842500363,0.06801526865957325
20260827T043457543402Z,M05_random_retrieval,55.4,55.4,physical_threshold,24h_forecast_mean,2460,0,0,0,0,0,2460,,,,,1.0,,,
20260827T043457543402Z,M06_cosine_retrieval,35.4,35.4,physical_threshold,24h_forecast_mean,2460,37,11,0,11,37,2412,0.0,0.0,,0.0,0.9954601733388362,0.4977300866694181,0.8968778931634894,0.07363982866720152
20260827T043457543402Z,M06_cosine_retrieval,55.4,55.4,physical_threshold,24h_forecast_mean,2460,0,0,0,0,0,2460,,,,,1.0,,,
20260827T043457543402Z,M03_xgb_pm25,35.4,35.4,physical_threshold,24h_forecast_mean,2460,37,12,0,12,37,2411,0.0,0.0,,0.0,0.9950474618241849,0.49752373091209245,0.9315121972984127,0.11211425813665696
20260827T043457543402Z,M03_xgb_pm25,55.4,55.4,physical_threshold,24h_forecast_mean,2460,0,0,0,0,0,2460,,,,,1.0,,,
20260827T043457543402Z,M04_xgb_context,35.4,35.4,physical_threshold,24h_forecast_mean,2460,37,5,0,5,37,2418,0.0,0.0,,0.0,0.9979364424267437,0.49896822121337187,0.9403799176807844,0.13927332096759756
20260827T043457543402Z,M04_xgb_context,55.4,55.4,physical_threshold,24h_forecast_mean,2460,0,0,0,0,0,2460,,,,,1.0,,,
20260827T043457543402Z,C01_ridge_context,35.4,35.4,physical_threshold,24h_forecast_mean,2460,37,11,1,10,36,2413,0.09090909090909091,0.02702702702702703,0.04166666666666667,0.02127659574468085,0.9958728848534875,0.5114499559402572,0.9364758898394887,0.13428244363734554
20260827T043457543402Z,C01_ridge_context,55.4,55.4,physical_threshold,24h_forecast_mean,2460,0,0,0,0,0,2460,,,,,1.0,,,
